CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
0001A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, DILUENT RECONSTITUTED; FIRST ",,,,,
0001F,Family Practice,Office Visit,"HEART FAILURE ASSESSED (INCLUDES ASSESSMENT OF ALL THE FOLLOWING COMPONENTS) (CAD, HF): BLOOD PRESSURE MEASURED (2000F) LEVEL OF ACTIVITY ASSESSED (1003F) CLINICAL SYMPTOMSOF VOLUME OVERLOAD (EXCESS) ASSESSED (1004F) WEIGHT, RECORDED (2001F",,,,,
0001M,Lab ,Advanced Laboratory Services,"INFECTIOUS DISEASE, HCV, SIX BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, AND HAPTOGLOBIN) UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS SCORES FOR FIBROSIS AND NECROINFLAMMATORY ACTIVITY IN LIVER",,,,,
0001T,Cardiology,Cardiac Procedures,"(CODE DELETED IN 2005. TO REPORT, USE 34803) ENDOVASCULAR REPAIR OF INFRARENAL ABDOMINAL AORTIC ANEURYSM OR DISSECTION; MODULAR BIFURCATED PROSTHESIS (TWO DOCKING LIMBS) (CPT CATEGORY III CODE)",,,,,
0001U,Lab ,Advanced Laboratory Services,"RED BLOOD CELL ANTIGEN TYPING, DNA, HUMAN ERYTHROCYTE ANTIGEN GENE ANALYSIS OF 35 ANTIGENS FROM 11 BLOOD GROUPS, UTILIZING WHOLE BLOOD, COMMON RBC ALLELES REPORTED",,,,,
0002A,Family Practice,General Procedures,"IMMUNIZATION ADMINISTRATION BY INTRAMUSCULAR INJECTION OF SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2 (SARS-COV-2) (CORONAVIRUS DISEASE [COVID-19]) VACCINE, MRNA-LNP, SPIKE PROTEIN, PRESERVATIVE FREE, 30 MCG/0.3ML DOSAGE, DILUENT RECONSTITUTED; SECOND",,,,,
0002F,Family Practice,Office Visit,"(CODE DELETED IN 2004 TO REPORT USE 1000F) TOBACCO USE, SMOKING, ASSESSED (CPT CATEGORY II CODE)",,,,,
0002M,Lab ,Advanced Laboratory Services,"LIVER DISEASE, TEN BIOCHEMICAL ASSAYS (ALT, A2-MACROGLOBULIN, APOLIPOPROTEIN A-1, TOTAL BILIRUBIN, GGT, HAPTOGLOBIN, AST, GLUCOSE, TOTAL CHOLESTEROL AND TRIGLYCERIDES) UTILIZING SERUM, PROGNOSTIC ALGORITHM REPORTED AS QUANTITATIVE SCORES FOR FIBROSIS, STE",,,,,
0002T,Vascular Surgery,Vascular Surgery,ENDOVASCULAR REPAIR OF INFRARENAL ABDOMINAL AORTIC ANEURYSM OR DISSECTION; AORTO-UNI-ILIAC OR AORTO-UNIFEMORAL PROSTHESIS (CPT CATEGORY III CODE),,,,,
0002U,Lab ,Advanced Laboratory Services,"ONCOLOGY (COLORECTAL), QUANTITATIVE ASSESSMENT OF THREE URINE METABOLITES (ASCORBIC ACID, SUCCINIC ACID AND CARNITINE) BY LIQUID CHROMATOGRAPHY WITH TANDEM MASS SPECTROMETRY (LC-MS/MS) USING MULTIPLE REACTION MONITORING ACQUISITION, ALGORITHM REPORTED AS ",,,,,
